id,link,source,type,title,summary,content,publishDate,tags,author,category,image
1,https://www.wired.com/story/ai-crypto-tracing-model-money-laundering/,Wired,News Article,A Vast New Dataset Could Supercharge the AI Hunt for Crypto Money Laundering,"Blockchain analysis firm Elliptic, MIT, and IBM, have released a new AI detection model—and the 200-million-transaction dataset it's trained on—that aims to spot the “shape” of Bitcoin money laundering.","As a test of their resulting AI tool, the researchers checked its outputs with one cryptocurrency exchangewhich the paper doesn't nameidentifying 52 suspicious chains of transactions that had all ult… [+3279 chars]",2024-05-01T13:00:00Z,N/A,Andy Greenberg,N/A,"https://media.wired.com/photos/6631a1936dc0c77846852ed5/191:100/w_1280,c_limit/Crypto-Money-Laundering-Security-GettyImages-1543076825.jpg"
2,https://www.theverge.com/2024/5/16/24158398/crypto-ethereum-heist-peraire-bueno-brothers,The Verge,News Article,Two brothers accused of stealing $25 million worth of crypto,"The brothers, Anton and James Peraire-Bueno, face up to 60 years in prison if convicted.","Two brothers accused of stealing $25 million worth of crypto
Two brothers accused of stealing $25 million worth of crypto
 / The heist took just 12 minutes to execute, prosecutors claim.
ByGaby De… [+2933 chars]",2024-05-16T20:46:45Z,N/A,Gaby Del Valle,N/A,https://cdn.vox-cdn.com/thumbor/IoqvDVRfH_TRVzXzP28JYCE7eLw=/0x0:2040x1360/1200x628/filters:focal(1020x680:1021x681)/cdn.vox-cdn.com/uploads/chorus_asset/file/23951328/STK015_VRG_Illo_N_Barclay_7_ethereum.jpg
3,https://arstechnica.com/tech-policy/2024/05/sophisticated-25m-ethereum-heist-took-about-12-seconds-doj-says/,Ars Technica,News Article,"MIT students stole $25M in seconds by exploiting ETH blockchain bug, DOJ says",Brothers charged in novel crypto scheme potentially face decades in prison.,"45
Within approximately 12 seconds, two highly educated brothers allegedly stole $25 million by tampering with the ethereum blockchain in a never-before-seen cryptocurrency scheme, according to an i… [+4305 chars]",2024-05-15T20:21:44Z,N/A,Ashley Belanger,N/A,https://cdn.arstechnica.net/wp-content/uploads/2024/05/GettyImages-1421085068-760x380.jpg
4,https://markets.businessinsider.com/news/currencies/bitcoin-price-supply-crypto-currency-miners-btc-sell-off-decline-2024-5,Business Insider,News Article,"Bitcoin could see a wave of forced selling as miners face the reality of lower rewards post-halving, research firm says","""If miners were forced to sell even a fraction of their holdings over the coming month this would have a negative impact on markets,"" Kaiki Research wrote.","Markets have long considered bitcoin's recent halving as a major price bolster, but it could bring a wave of selling from one corner of the sector, according to Kaiko Research.
The April halving is … [+1708 chars]",2024-05-15T12:17:10Z,N/A,fdemott@insider.com (Filip De Mott),N/A,https://i.insider.com/6643af41b4abc992e8c96de5?width=1200&format=jpeg
5,https://www.businessinsider.com/jpmorgan-jamie-dimon-economy-inflation-recession-stagflation-geopolitics-crypto-bitcoin-2024-4,Business Insider,News Article,Jamie Dimon warns the world order is being challenged — and bashes crypto once more,"JPMorgan's CEO warned of sticky inflation, rising interest rates, recession, and global turmoil, while panning crypto's lack of progress.","Most people are financially healthy, but economic and geopolitical threats could spoil the party, Jamie Dimon warned on Tuesday.
Consumers have seen their homes and stock portfolios surge in value i… [+2601 chars]",2024-04-24T11:33:26Z,N/A,tmohamed@insider.com (Theron Mohamed),N/A,https://i.insider.com/6628e45d0dfb1341e9fe56ca?width=1200&format=jpeg
6,https://it.slashdot.org/story/24/05/11/0111205/black-basta-ransomware-attack-brought-down-ascension-it-systems-report-finds,Slashdot.org,News Article,"Black Basta Ransomware Attack Brought Down Ascension IT Systems, Report Finds","The Russia-linked ransomware group Black Basta is responsible for Wednesday's cyberattack on St. Louis-based Ascension health system, according to sources reported by CNN. The attack disrupted access to electronic health records, some phone systems and ""vario…","On Friday, the nonprofit group Health-ISAC (Information Sharing and Analysis Center) issued an alert about the group, saying that Black Basta has ""recently accelerated attacks against the healthcare … [+996 chars]",2024-05-11T10:00:00Z,N/A,BeauHD,N/A,https://a.fsdn.com/sd/topics/security_64.png
7,https://readwrite.com/russia-opposition-blockchain-mark-feygin/,ReadWrite,News Article,Russian opposition voices dissent with blockchain vote,"In the wake of Vladimir Putin’s landslide victory in Russia’s recent presidential election, which many have labeled as preordained and… Continue reading Russian opposition voices dissent with blockchain vote
The post Russian opposition voices dissent with blo…","In the wake of Vladimir Putin’s landslide victory in Russia’s recent presidential election, which many have labeled as preordained and lacking legitimacy, exiled opposition leader Mark Feygin is spea… [+2598 chars]",2024-05-10T20:04:06Z,N/A,Radek Zielinski,N/A,https://readwrite.com/wp-content/uploads/2024/05/b979db39-b73e-4d28-9a6b-46ec5865f2e7.webp
8,https://readwrite.com/ethereum-hackers-arrested-mit-brothers-25-million-12-seconds/,ReadWrite,News Article,$25M in 12 seconds: MIT hacker brothers arrested in the US,"Two brothers who attended the Massachusetts Institute of Technology (MIT) were arrested on Wednesday, facing charges for an innovative scheme… Continue reading $25M in 12 seconds: MIT hacker brothers arrested in the US
The post $25M in 12 seconds: MIT hacker …","Two brothers who attended the Massachusetts Institute of Technology (MIT) were arrested on Wednesday, facing charges for an innovative scheme that exploited the maximum extractable value (MEV) bots o… [+1745 chars]",2024-05-17T12:56:19Z,N/A,Radek Zielinski,N/A,https://readwrite.com/wp-content/uploads/2024/05/04c0ffa7-8c02-4621-8e80-b7fd6c93aa5f.webp
9,https://readwrite.com/bitcoin-beaches-one-billion-transactions-milestone/,ReadWrite,News Article,Bitcoin beaches one billion transactions milestone,"Bitcoin (BTC) — the world’s first and most valuable cryptocurrency — has surpassed one billion processed transactions. This milestone was… Continue reading Bitcoin beaches one billion transactions milestone
The post Bitcoin beaches one billion transactions mi…",Bitcoin (BTC) the world’s first and most valuable cryptocurrency has surpassed one billion processed transactions. This milestone was reached 800 weeks and one day after the launch of Bitcoin on Janu… [+2107 chars],2024-05-06T12:22:39Z,N/A,Radek Zielinski,N/A,https://readwrite.com/wp-content/uploads/2024/05/ada10bac-b90f-4618-8f7c-490d8dc6692a.webp
10,https://readwrite.com/top-6-leading-cryptos-of-2024-anticipated-lunar-event-propels-blockdag-beyond-sol-avax-ada-bnb-uni/,ReadWrite,News Article,"Top 6 Leading Cryptos of 2024: Anticipated Lunar Event Propels BlockDAG Beyond SOL, AVAX, ADA, BNB, & UNI","BlockDAG is rapidly gaining prominence, ranking alongside Solana, Avalanche, Cardano, Binance, and Uniswap among the top 6 leading cryptos of… Continue reading Top 6 Leading Cryptos of 2024: Anticipated Lunar Event Propels BlockDAG Beyond SOL, AVAX, ADA, BNB,…","BlockDAG is rapidly gaining prominence, ranking alongside Solana, Avalanche, Cardano, Binance, and Uniswap among the top 6 leading cryptos of 2024. The buzz around an upcoming lunar keynote display, … [+4041 chars]",2024-04-22T15:57:59Z,N/A,Michael Graw,N/A,https://readwrite.com/wp-content/uploads/2024/04/image1-2.jpg
